date,triplet
01-01-2022,"{""head"": ""Tesla Inc"", ""relation"": ""added to balance sheet of"", ""tail"": ""Bitcoin""}"
01-01-2022,"{""head"": ""Deutsche Bank"", ""relation"": ""raised price target on"", ""tail"": ""Tesla Inc""}"
01-01-2022,"{""head"": ""Tesla Inc"", ""relation"": ""predicted to extend EV lead"", ""tail"": ""due to world shift to electric vehicles""}"
01-01-2022,"{""head"": ""Tesla Inc"", ""relation"": ""predicted to beat earnings estimates"", ""tail"": ""due to major oil company competition""}"
01-01-2022,"{""head"": ""Tesla Inc"", ""relation"": ""part of a portfolio with excellent growth potential"", ""tail"": ""Apple, Amazon, Alphabet, Meta, Microsoft, Nvidia""}"
02-01-2022,"{""head"": ""Tesla"", ""relation"": ""delivered"", ""tail"": ""308,600 electric vehicles""}"
02-01-2022,"{""head"": ""Tesla"", ""relation"": ""added"", ""tail"": ""$3 trillion in market cap""}"
02-01-2022,"{""head"": ""Tesla's stock"", ""relation"": ""is"", ""tail"": ""stretched""}"
02-01-2022,"{""head"": ""Tesla's stock"", ""relation"": ""won't repeat"", ""tail"": ""2021's performance""}"
02-01-2022,"{""head"": ""Tesla"", ""relation"": ""is the only"", ""tail"": ""S&P 500 company with Bitcoin on its balance sheet""}"
03-01-2022,"{""head"": ""Tesla"", ""relation"": ""invested"", ""tail"": ""1.5 billion USD into Bitcoin""}"
03-01-2022,"{""head"": ""Elon Musk"", ""relation"": ""sold"", ""tail"": ""10% of his holdings to prove liquidity of Bitcoin as an alternative to holding cash""}"
03-01-2022,"{""head"": ""Elon Musk"", ""relation"": ""is a fan of"", ""tail"": ""Dogecoin""}"
03-01-2022,"{""head"": ""Tesla"", ""relation"": ""shares jumped"", ""tail"": ""14 per cent in New York""}"
03-01-2022,"{""head"": ""Annual handovers"", ""relation"": ""surged"", ""tail"": ""to more than 936,000 in 2021""}"
04-01-2022,"{""head"": ""Lucid Group"", ""relation"": ""share rose in percent"", ""tail"": ""280%""}"
04-01-2022,"{""head"": ""Tesla Inc."", ""relation"": ""stock rating by BofA"", ""tail"": ""Neutral""}"
04-01-2022,"{""head"": ""Tesla Inc."", ""relation"": ""stock price target by BofA"", ""tail"": ""$1,200""}"
04-01-2022,"{""head"": ""Tesla Inc."", ""relation"": ""deliveries increased percent"", ""tail"": ""71%""}"
04-01-2022,"{""head"": ""Tesla Inc."", ""relation"": ""production increased percent"", ""tail"": ""70%""}"
05-01-2022,"{""head"": ""Tesla"", ""relation"": ""sells"", ""tail"": ""Model S luxury sedan""}"
05-01-2022,"{""head"": ""Tesla"", ""relation"": ""sells"", ""tail"": ""Model 3 less-expensive sedan""}"
05-01-2022,"{""head"": ""Tesla"", ""relation"": ""sells"", ""tail"": ""Model Y SUV""}"
05-01-2022,"{""head"": ""Tesla"", ""relation"": ""sells"", ""tail"": ""Model X luxury SUV""}"
05-01-2022,"{""head"": ""Tesla"", ""relation"": ""aiming"", ""tail"": ""deliver second-generation roadster and Semi electric, commercial truck in 2023""}"
05-01-2022,"{""head"": ""Tesla"", ""relation"": ""start producing"", ""tail"": ""Cybertruck at the end of this year, with volume production in 2023""}"
06-01-2022,"{""head"": ""Tesla"", ""relation"": ""stock value"", ""tail"": ""$1.07 trillion""}"
06-01-2022,"{""head"": ""Tesla"", ""relation"": ""return in the last year"", ""tail"": ""50%""}"
06-01-2022,"{""head"": ""Tesla"", ""relation"": ""competing EV maker"", ""tail"": ""Rivian""}"
06-01-2022,"{""head"": ""Tesla"", ""relation"": ""stock performance under pressure"", ""tail"": ""Expectations of an interest rate increase by the U.S. Federal Reserve""}"
06-01-2022,"{""head"": ""Tesla"", ""relation"": ""fundamentals"", ""tail"": ""Difficult path to ramping EV manufacturing""}"
07-01-2022,"{""head"": ""Tesla Inc."", ""relation"": ""fell"", ""tail"": ""3.5%""}"
07-01-2022,"{""head"": ""Nvidia"", ""relation"": ""slid"", ""tail"": ""3.3%""}"
07-01-2022,"{""head"": ""Tesla Inc."", ""relation"": ""sells"", ""tail"": ""Schwab U.S.""}"
07-01-2022,"{""head"": ""Tesla Inc."", ""relation"": ""sells"", ""tail"": ""Schwab U.S. Mid-Cap ETF""}"
07-01-2022,"{""head"": ""Tesla Inc."", ""relation"": ""sells"", ""tail"": ""Alibaba Group Holding""}"
08-01-2022,"{""head"": ""Tesla"", ""relation"": ""increases price of FSD"", ""tail"": ""12000""}"
08-01-2022,"{""head"": ""Tesla"", ""relation"": ""releases FSD software"", ""tail"": ""10.8 beta""}"
08-01-2022,"{""head"": ""Wedbush"", ""relation"": ""price target for Tesla"", ""tail"": ""1400""}"
08-01-2022,"{""head"": ""Wedbush"", ""relation"": ""rating for Tesla"", ""tail"": "": Outperform""}"
